,price,kind,min_nights,reviews,last_review,lat
32366,110,Private room,1,43,2019-06-17,40.71766
37543,75,Entire home/apt,3,15,2019-05-21,40.69854
9836,65,Private room,1,158,2019-06-23,40.74823
41788,69,Entire home/apt,2,4,2019-02-20,40.70305
46985,120,Entire home/apt,1,0,,40.71496
19554,210,Entire home/apt,1,202,2019-06-15,40.76195
47955,75,Private room,1,0,,40.83671
27800,40,Private room,5,12,2019-04-30,40.65314
4037,176,Entire home/apt,3,168,2019-06-15,40.68709000000001
11268,150,Private room,4,0,,40.70076
26396,125,Entire home/apt,7,0,,40.72543
27883,400,Entire home/apt,5,0,,40.7466
31708,45,Private room,13,2,2018-07-31,40.66433
45228,70,Private room,3,2,2019-06-18,40.6966
20129,150,Entire home/apt,7,4,2019-04-02,40.81067
23698,55,Entire home/apt,3,78,2019-06-23,40.70533
43481,65,Entire home/apt,6,2,2019-05-16,40.68383
29753,249,Entire home/apt,2,54,2019-07-06,40.71174
25905,170,Entire home/apt,4,0,,40.71946
23077,60,Private room,1,5,2018-05-13,40.6327
30552,35,Private room,1,78,2019-06-22,40.73726
14616,70,Shared room,1,88,2019-06-29,40.71556
31420,165,Entire home/apt,3,33,2019-06-03,40.81716
28078,100,Private room,1,0,,40.77752
1319,100,Entire home/apt,5,6,2012-09-14,40.73047
7342,150,Private room,1,2,2015-04-24,40.6769
13216,63,Private room,7,1,2016-01-05,40.72003
6789,159,Entire home/apt,3,30,2018-01-01,40.69986
40242,75,Private room,3,0,,40.76681
46440,416,Entire home/apt,1,0,,40.74832
30548,45,Private room,30,4,2019-04-30,40.78353
38491,160,Entire home/apt,1,4,2019-06-04,40.72861
30300,400,Entire home/apt,1,0,,40.72764
25340,45,Private room,3,58,2019-06-20,40.73726
30608,189,Entire home/apt,1,5,2019-03-10,40.66094
36856,99,Entire home/apt,5,10,2019-06-29,40.79954
10874,50,Private room,1,0,,40.63378
35246,55,Private room,2,30,2019-06-11,40.69159000000001
35954,110,Entire home/apt,2,9,2019-06-23,40.67347
25568,90,Private room,2,67,2019-07-06,40.80666
42399,47,Private room,30,0,,40.67721
36245,130,Entire home/apt,2,48,2019-06-27,40.68085
39272,145,Entire home/apt,1,3,2019-06-23,40.5998
48152,99,Entire home/apt,2,0,,40.76769
27225,250,Entire home/apt,2,5,2018-08-05,40.7251
17672,87,Entire home/apt,1,162,2019-06-23,40.74399
44344,53,Private room,3,1,2019-06-04,40.82261
24370,110,Entire home/apt,3,3,2019-06-24,40.71548
35593,110,Private room,21,0,,40.68978
31905,70,Private room,7,2,2019-06-06,40.68409000000001
35039,239,Entire home/apt,29,0,,40.7469
45368,300,Entire home/apt,2,5,2019-07-01,40.71125
15033,121,Entire home/apt,20,23,2019-04-13,40.62168
10917,60,Private room,6,0,,40.72522
20962,120,Private room,5,11,2019-05-23,40.80288
46633,75,Private room,1,0,,40.68158
42443,100,Entire home/apt,2,18,2019-06-28,40.8267
1430,120,Entire home/apt,20,32,2019-04-21,40.69382
8896,135,Entire home/apt,1,229,2019-06-16,40.76219
42306,488,Entire home/apt,2,0,,40.7515
11963,190,Entire home/apt,4,1,2016-01-05,40.76436
15000,65,Private room,3,11,2019-06-02,40.70487
2135,100,Entire home/apt,1,0,,40.81062
18929,37,Shared room,1,12,2018-09-18,40.70719
2387,225,Entire home/apt,2,136,2019-06-22,40.7302
41135,45,Private room,1,2,2019-03-07,40.67825
28499,42,Private room,20,0,,40.71424
42343,150,Entire home/apt,3,7,2019-06-13,40.75658
38531,125,Entire home/apt,3,4,2019-06-30,40.66661
15881,150,Entire home/apt,30,6,2019-05-31,40.76014
33121,150,Entire home/apt,3,27,2019-07-07,40.72213
961,50,Entire home/apt,30,3,2018-12-04,40.59721
22412,160,Entire home/apt,1,18,2019-06-12,40.71747
14402,70,Entire home/apt,6,18,2019-07-04,40.68354
43931,79,Private room,2,2,2019-06-16,40.69267
41541,49,Private room,1,6,2019-06-03,40.76276
39023,75,Private room,2,0,,40.68269
31873,60,Private room,1,33,2019-06-22,40.75686
10108,35,Shared room,14,6,2019-02-16,40.70993
17007,100,Private room,2,0,,40.80153
32999,230,Entire home/apt,2,11,2019-05-27,40.73434
2780,178,Private room,2,2,2016-09-04,40.71041
8555,149,Private room,1,56,2019-07-06,40.58977
21370,80,Private room,5,0,,40.79149
39385,250,Entire home/apt,2,14,2019-06-20,40.7256
5253,105,Private room,1,372,2019-06-21,40.71231
20536,50,Private room,2,5,2017-05-16,40.68376
29579,99,Private room,1,45,2019-06-17,40.85411
869,75,Private room,3,13,2019-01-31,40.69348
2596,98,Entire home/apt,3,144,2019-06-23,40.68208
17130,150,Entire home/apt,2,5,2019-03-20,40.71578
19450,147,Entire home/apt,5,85,2019-02-24,40.66881
41174,100,Entire home/apt,2,5,2019-06-19,40.67904
3939,80,Private room,3,3,2017-10-03,40.82349
13575,99,Entire home/apt,3,29,2019-06-25,40.7276
33518,180,Entire home/apt,4,23,2019-07-01,40.72003
12741,159,Entire home/apt,1,3,2017-01-02,40.72107000000001
27243,100,Private room,2,3,2017-11-16,40.72986
29819,295,Entire home/apt,1,114,2019-06-23,40.76716
44022,75,Private room,3,0,,40.8353
